episode,total_reward,mean_form_error,max_form_error,form_var,mean_z_error,min_dyn_distance,collision,threat,r_terms,ic_chase_mode
71,-25.753449485636605,0.0496494323015213,0.0582694448530674,2.4854158255038783e-05,0.0004677772521972656,0.5384483337402344,0.0,1.0,"{'r_form': -0.03524530512513593, 'r_form_var': -1.0438746467116288e-05, 'r_height': -0.00018711090087890627, 'r_smooth': -0.0008995560556650161, 'r_evade': -0.784654998779297, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.3117396354675293, 'collision': 0.0}",random
72,-27.946066948468157,0.05035988241434097,0.05920266732573509,4.628868191502988e-05,0.0002393245667917654,0.357400119304657,0.0,1.0,"{'r_form': -0.03586502041434869, 'r_form_var': -1.9441246404312548e-05, 'r_height': -9.572982671670616e-05, 'r_smooth': -0.0010430010408163071, 'r_evade': -1.3277996420860292, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23821003437042237, 'collision': 0.0}",random
73,-5.920280952594336,0.05105974152684212,0.06853827834129333,0.00020635877444874495,6.53505339869298e-05,0.10857677459716797,1.0,1.0,"{'r_form': -0.041335564791224896, 'r_form_var': -8.667068526847286e-05, 'r_height': -2.6140213594771922e-05, 'r_smooth': -0.001103663071990013, 'r_evade': -2.0742696762084964, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25141820907592777, 'collision': -8.0}",most_error
74,-24.805853522424094,0.04289253056049347,0.05571068450808525,9.380064875585958e-05,0.00023949146270751953,0.22646477818489075,0.0,1.0,"{'r_form': -0.033228231600951404, 'r_form_var': -3.9396272477461025e-05, 'r_height': -9.579658508300782e-05, 'r_smooth': -0.0009228906780481339, 'r_evade': -1.6748145572841169, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25562572479248047, 'collision': 0.0}",most_error
75,-2.90622769209214,0.061245210468769073,0.06550043821334839,9.545167813485023e-06,0.0005556464311666787,0.10620566457509995,1.0,1.0,"{'r_form': -0.04062879252014681, 'r_form_var': -4.008970481663709e-06, 'r_height': -0.00022225857246667148, 'r_smooth': -0.00178548663854599, 'r_evade': -2.0813830062747005, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.20984256267547607, 'collision': -8.0}",random
76,-21.165069365829954,0.044668082147836685,0.06118195131421089,0.00010087173723150045,0.00029096603975631297,0.10520178824663162,1.0,1.0,"{'r_form': -0.03646280728280544, 'r_form_var': -4.2366129637230184e-05, 'r_height': -0.0001163864159025252, 'r_smooth': -0.0011213548481464387, 'r_evade': -2.0449739597737793, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.26318628787994386, 'collision': -8.0}",most_error
77,-2.7311354959841667,0.06699926406145096,0.06991282850503922,8.933921890275087e-06,0.0002527594624552876,0.10808739066123962,1.0,1.0,"{'r_form': -0.04387391016818583, 'r_form_var': -3.752247193915536e-06, 'r_height': -0.00010110378498211503, 'r_smooth': -0.001398567706346512, 'r_evade': -2.0757378280162815, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21298058032989503, 'collision': -8.0}",nearest
78,-2.784324882245487,0.08220814913511276,0.08474317193031311,5.7196325542463455e-06,0.0005177736165933311,0.10597817599773407,1.0,1.0,"{'r_form': -0.05455827047582716, 'r_form_var': -2.402245672783465e-06, 'r_height': -0.00020710944663733245, 'r_smooth': -0.0013350018858909608, 'r_evade': -2.082065472006798, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.21284270286560059, 'collision': -8.0}",random
79,-4.759559231249222,0.03831426426768303,0.038576047867536545,9.006669898781183e-08,0.00044395923032425344,0.10885259509086609,1.0,1.0,"{'r_form': -0.02314406332792714, 'r_form_var': -3.7828013574880964e-08, 'r_height': -0.00017758369212970138, 'r_smooth': -0.001141183376312256, 'r_evade': -2.073442214727402, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.25956876277923585, 'collision': -8.0}",random
80,-20.266410939758497,0.05084716156125069,0.05730482190847397,3.2331077818525955e-05,0.00039696693420410156,0.10867433249950409,1.0,1.0,"{'r_form': -0.034839353014249355, 'r_form_var': -1.3579052683780898e-05, 'r_height': -0.00015878677368164062, 'r_smooth': -0.0009872362762689592, 'r_evade': -2.073977002501488, 'r_safe': 0.0, 'workspace_pen': -0.0, 'sep_pen': 0.0, 'static_pen': -0.23271400928497316, 'collision': -8.0}",round_robin
